panel_index,panel_title,panel_xlabel,panel_ylabel,panel_type,layer,series_index,series_label,point_index,x,y,width,height
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,line,0,_child70,0.0,0.0,0.0,,
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,line,0,_child70,1.0,1.0,0.0,,
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,0,_nolegend_,,0.7,0.0,0.6000000000000001,0.29066532850265503
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,1,_nolegend_,,1.7,0.0,0.6000000000000001,0.10907503962516785
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,2,_nolegend_,,2.7,0.0,0.6000000000000001,0.08863956481218338
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,3,_nolegend_,,3.7,0.0,0.6000000000000001,0.10917247086763382
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,4,_nolegend_,,4.7,0.0,0.6000000000000001,0.12952828407287598
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,5,_nolegend_,,0.7,0.29066532850265503,0.6000000000000001,0.0512690395116806
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,6,_nolegend_,,1.7,0.10907503962516785,0.6000000000000001,0.012804840691387653
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,7,_nolegend_,,2.7,0.08863956481218338,0.6000000000000001,0.007552576716989279
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,8,_nolegend_,,3.7,0.10917247086763382,0.6000000000000001,0.00957550946623087
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,9,_nolegend_,,4.7,0.12952828407287598,0.6000000000000001,0.010206544771790504
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,10,_nolegend_,,0.7,0.34193436801433563,0.6000000000000001,0.027907811105251312
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,11,_nolegend_,,1.7,0.1218798803165555,0.6000000000000001,0.012583395466208458
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,12,_nolegend_,,2.7,0.09619214152917266,0.6000000000000001,0.011177062056958675
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,13,_nolegend_,,3.7,0.11874798033386469,0.6000000000000001,0.009166008792817593
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,14,_nolegend_,,4.7,0.13973482884466648,0.6000000000000001,0.012517387047410011
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,15,_nolegend_,,0.7,0.36984217911958694,0.6000000000000001,0.002142577199265361
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,16,_nolegend_,,1.7,0.13446327578276396,0.6000000000000001,0.0011533431243151426
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,17,_nolegend_,,2.7,0.10736920358613133,0.6000000000000001,0.0010340464068576694
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,18,_nolegend_,,3.7,0.12791398912668228,0.6000000000000001,0.0008736511808820069
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,19,_nolegend_,,4.7,0.1522522158920765,0.6000000000000001,0.0013310565846040845
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,20,_nolegend_,,0.7,0.3719847563188523,0.6000000000000001,0.408867746591568
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,21,_nolegend_,,1.7,0.1356166189070791,0.6000000000000001,0.8103094696998596
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,22,_nolegend_,,2.7,0.108403249992989,0.6000000000000001,0.8561031222343445
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,23,_nolegend_,,3.7,0.1287876403075643,0.6000000000000001,0.8418741822242737
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,24,_nolegend_,,4.7,0.15358327247668058,0.6000000000000001,0.7875761985778809
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,25,_nolegend_,,0.7,0.7808525029104203,0.6000000000000001,0.21302422881126404
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,26,_nolegend_,,1.7,0.9459260886069387,0.6000000000000001,0.05087760463356972
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,27,_nolegend_,,2.7,0.9645063722273335,0.6000000000000001,0.0330900214612484
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,28,_nolegend_,,3.7,0.970661822531838,0.6000000000000001,0.027283674106001854
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,29,_nolegend_,,4.7,0.9411594710545614,0.6000000000000001,0.0559471994638443
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,30,_nolegend_,,0.7,0.9938767317216843,0.6000000000000001,0.0061231954023242
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,31,_nolegend_,,1.7,0.9968036932405084,0.6000000000000001,0.003196231322363019
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,32,_nolegend_,,2.7,0.9975963936885819,0.6000000000000001,0.0024035226088017225
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,33,_nolegend_,,3.7,0.9979454966378398,0.6000000000000001,0.0020545232109725475
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,34,_nolegend_,,4.7,0.9971066705184057,0.6000000000000001,0.002893337979912758
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,35,_nolegend_,,0.7,0.0,0.6000000000000001,-0.10961171239614487
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,36,_nolegend_,,1.7,0.0,0.6000000000000001,-0.32870641350746155
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,37,_nolegend_,,2.7,0.0,0.6000000000000001,-0.11081459373235703
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,38,_nolegend_,,3.7,0.0,0.6000000000000001,-0.21289663016796112
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,39,_nolegend_,,4.7,0.0,0.6000000000000001,-0.12973377108573914
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,40,_nolegend_,,0.7,-0.10961171239614487,0.6000000000000001,-0.06312839686870575
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,41,_nolegend_,,1.7,-0.32870641350746155,0.6000000000000001,-0.03266642242670059
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,42,_nolegend_,,2.7,-0.11081459373235703,0.6000000000000001,-0.08853040635585785
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,43,_nolegend_,,3.7,-0.21289663016796112,0.6000000000000001,-0.024190368130803108
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,44,_nolegend_,,4.7,-0.12973377108573914,0.6000000000000001,-0.04150887206196785
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,45,_nolegend_,,0.7,-0.17274010926485062,0.6000000000000001,-0.0054021477699279785
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,46,_nolegend_,,1.7,-0.36137283593416214,0.6000000000000001,-0.008136916905641556
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,47,_nolegend_,,2.7,-0.19934500008821487,0.6000000000000001,-0.018327688798308372
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,48,_nolegend_,,3.7,-0.23708699829876423,0.6000000000000001,-0.007120226044207811
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,49,_nolegend_,,4.7,-0.17124264314770699,0.6000000000000001,-0.040071651339530945
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,50,_nolegend_,,0.7,-0.1781422570347786,0.6000000000000001,-0.0006014215759932995
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,51,_nolegend_,,1.7,-0.3695097528398037,0.6000000000000001,-0.0014222337631508708
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,52,_nolegend_,,2.7,-0.21767268888652325,0.6000000000000001,-0.0014890964375808835
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,53,_nolegend_,,3.7,-0.24420722434297204,0.6000000000000001,-0.0012068863725289702
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,54,_nolegend_,,4.7,-0.21131429448723793,0.6000000000000001,-0.004699122626334429
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,55,_nolegend_,,0.7,-0.1787436786107719,0.6000000000000001,-0.7243987321853638
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,56,_nolegend_,,1.7,-0.37093198660295457,0.6000000000000001,-0.24191860854625702
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,57,_nolegend_,,2.7,-0.21916178532410413,0.6000000000000001,-0.6607715487480164
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,58,_nolegend_,,3.7,-0.245414110715501,0.6000000000000001,-0.6107777953147888
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,59,_nolegend_,,4.7,-0.21601341711357236,0.6000000000000001,-0.6710793375968933
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,60,_nolegend_,,0.7,-0.9031424107961357,0.6000000000000001,-0.09306937456130981
0,Emotion public vs OTR --- policy director,Debate turn,probability,rectilinear,patch,61,_nolegend_,,1.7,-0.6128505951492116,0.6000000000000001,-0.3806743323802948
