model_raw,model,scenario_id,direction,incentive_type,repeat,agent,turn,value,model_baseline_mean
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,1,beta,1,0.814319908618927,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,1,beta,2,0.6949721574783325,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,1,beta,3,0.7081243991851807,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,1,beta,4,0.6069855690002441,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,1,beta,5,0.5512818098068237,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,2,beta,1,0.7910588383674622,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,2,beta,2,0.5491765737533569,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,2,beta,3,0.6347901225090027,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,2,beta,4,0.7678957581520081,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,2,beta,5,0.6449127793312073,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,3,beta,1,0.765627384185791,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,3,beta,2,0.7006171941757202,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,3,beta,3,0.643465518951416,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,3,beta,4,0.7403789758682251,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,3,beta,5,0.6579694747924805,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,4,beta,1,0.7388758659362793,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,4,beta,2,0.6876168251037598,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,4,beta,3,0.48937705159187317,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,4,beta,4,0.5946086049079895,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,4,beta,5,0.7164769768714905,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,5,beta,1,0.7968965768814087,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,5,beta,2,0.7127998471260071,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,5,beta,3,0.5677308440208435,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,5,beta,4,0.7467430233955383,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,5,beta,5,0.6598488092422485,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,historical,1,beta,1,0.8542654514312744,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,historical,1,beta,2,0.4789162278175354,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,historical,1,beta,3,0.7292331457138062,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,historical,1,beta,4,0.7235725522041321,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,historical,1,beta,5,0.7702475786209106,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,historical,2,beta,1,0.8341480493545532,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,historical,2,beta,2,0.5925989151000977,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,historical,2,beta,3,0.5932803153991699,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,historical,2,beta,4,0.6932219862937927,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,historical,2,beta,5,0.4684829115867615,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,historical,3,beta,1,0.8383939266204834,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,historical,3,beta,2,0.6515729427337646,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,historical,3,beta,3,0.6996298432350159,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,historical,3,beta,4,0.5705720782279968,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,historical,3,beta,5,0.7419955730438232,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,historical,4,beta,1,0.8158936500549316,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,historical,4,beta,2,0.5441156625747681,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,historical,4,beta,3,0.6973587274551392,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,historical,4,beta,4,0.5880752205848694,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,historical,4,beta,5,0.8610328435897827,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,historical,5,beta,1,0.9016180634498596,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,historical,5,beta,2,0.7477045655250549,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,historical,5,beta,3,0.5594117045402527,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,historical,5,beta,4,0.7762435674667358,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,historical,5,beta,5,0.5832191705703735,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,positive,future,1,beta,1,0.6882950663566589,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,positive,future,1,beta,2,0.6823566555976868,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,positive,future,1,beta,3,0.5322851538658142,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,positive,future,1,beta,4,0.392869770526886,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,positive,future,1,beta,5,0.5931170582771301,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,positive,future,2,beta,1,0.7285252213478088,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,positive,future,2,beta,2,0.37998640537261963,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,positive,future,2,beta,3,0.5395586490631104,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,positive,future,2,beta,4,0.6689713001251221,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,positive,future,2,beta,5,0.3088456988334656,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,positive,future,3,beta,1,0.8275530338287354,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,positive,future,3,beta,2,0.489362895488739,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,positive,future,3,beta,3,0.7022938132286072,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,positive,future,3,beta,4,0.5337991714477539,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,positive,future,3,beta,5,0.4995877146720886,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,positive,future,4,beta,1,0.7482976913452148,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,positive,future,4,beta,2,0.5848124027252197,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,positive,future,4,beta,3,0.3897473216056824,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,positive,future,4,beta,4,0.4305698871612549,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,positive,future,4,beta,5,0.3813616633415222,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,positive,future,5,beta,1,0.7229828834533691,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,positive,future,5,beta,2,0.6391056776046753,0.6849447671572367
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,positive,future,5,beta,3,0.8013801574707031,0.6849447671572367
